 id xcenter ycenter inst_mag
0 1 180.4703099254662 25.43957993668891 -13.838906376189382
1 2 74.81960347079288 124.75024999648834 -13.037313084926733
2 3 291.47700834836246 182.09380606912504 -14.25471871912662
3 4 405.02791866978487 139.656861245479 -13.56720547378843
4 5 375.81578808991895 158.0300746640659 -13.286338363373343
5 6 318.7586964039957 195.98321276656057 -13.013528455335399
6 7 313.83040150392577 174.27350920566923 -14.401281054670088
7 8 297.82277455800335 305.89382507617944 -13.099351483755461
8 9 294.2322247116671 323.4729149995096 -13.115729904054147
9 10 262.12860768689586 381.42534618196277 -12.471820714482117
10 11 172.4283995661292 111.48876042433136 -14.4080675679035
11 12 68.0682011638643 224.24366988809516 -12.278510075811724
12 13 194.16628585013945 203.86507893058084 -13.492793250800618
13 14 166.4183086775698 233.93903150367362 -13.92479942846451
14 15 68.03788991508468 270.9830845426338 -13.215895260356024
15 16 227.06234183997995 265.4762088416884 -14.079013894187327
16 17 212.9600007785464 314.5802929432597 -12.518150879930136
17 18 108.85202480349524 355.602293056425 -12.83201072478153
18 19 144.65682693111845 404.7576290159555 -13.138893857875555
19 20 181.90216317467448 429.7528808678286 -13.188785912202
20 21 452.66483286808875 333.784214527312 -13.977105348253192
21 22 389.50414934309134 351.7858524237024 -13.752841874156072
22 23 341.3129004868835 364.13191941881985 -13.828527777520556
23 24 224.99638220050085 459.42070422551217 -14.045624152833069
